Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent Task
1.20022E+15,4/20/2021,,4/20/2021,Protecting Child (Nested) Routes with canActivateChild,Section 6: Changing Pages with Routing,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Using a Fake Auth Service,Section 6: Changing Pages with Routing,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Controlling Navigation with canDeactivate,Section 6: Changing Pages with Routing,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Passing Static Data to a Route,Section 6: Changing Pages with Routing,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Resolving Dynamic Data with the resolve Guard,Section 6: Changing Pages with Routing,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Understanding Location Strategies,Section 6: Changing Pages with Routing,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Project: ,Section 6: Changing Pages with Routing,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Analyzing Angular Observables,Section 7: Understanding Observables,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Building a Custom Observable,Section 7: Understanding Observables,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Errors & Completion,Section 7: Understanding Observables,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Understanding Operators,Section 7: Understanding Observables,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Subjects,Section 7: Understanding Observables,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Project:,Section 7: Understanding Observables,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Template-Driven (TD) vs Reactive Approach,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Creating the Form and Registering the Controls,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Submitting and Using the Form,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Understanding Form State,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Accessing the Form with @ViewChild,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Adding Validation to check User Input,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Using the Form State,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Outputting Validation Error Messages,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Set Default Values with ngModel Property Binding,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Using ngModel with Two-Way-Binding,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Grouping Form Controls,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Handling Radio Buttons,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Setting and Patching Form Values,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Using Form Data,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,TD: Resetting Forms,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Project: ,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Setup,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Creating a Form in Code,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Syncing HTML and Form,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Submitting the Form,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Adding Validation,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Getting Access to Controls,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Grouping Controls,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Arrays of Form Controls (FormArray),Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Creating Custom Validators,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Using Error Codes,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Creating a Custom Async Validator,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Reacting to Status or Value Changes,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Reactive: Setting and Patching Values,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Project:,Section 8: Handling Forms in Angular Apps,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Using Pipes,Section 9: Using Pipes to Transform Outputs,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Parametrizing Pipes,Section 9: Using Pipes to Transform Outputs,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Chaining Multiple Pipes,Section 9: Using Pipes to Transform Outputs,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Creating a Custom Pipe,Section 9: Using Pipes to Transform Outputs,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Parametrizing a Custom Pipe,Section 9: Using Pipes to Transform Outputs,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Example: Creating a Filter Pipe,Section 9: Using Pipes to Transform Outputs,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,"Understanding the ""async"" Pipe",Section 9: Using Pipes to Transform Outputs,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Project: ,Section 9: Using Pipes to Transform Outputs,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Understating HTTP Request,Section 10: Making HTTP Requests,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,HttpClient,Section 10: Making HTTP Requests,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Create GET request,Section 10: Making HTTP Requests,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Create POST request,Section 10: Making HTTP Requests,,,,,,,Angular Training 2021,
1.20022E+15,4/20/2021,,4/20/2021,Project:,Section 10: Making HTTP Requests,,,,,,,Angular Training 2021,
